H2_Pipelines,Start_Zone,End_Zone,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,H2PipeCompCapex,H2PipeCompEnergy,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne
34,5,9,0,0,0,0,1,0,0,0,-1,0,20,0,38.8,61133.42208,1679.828147,1.18,50804.11,1,0,100,73000,0.5
35,5,10,0,0,0,0,1,0,0,0,0,-1,20,0,38.8,61133.42208,2158.514257,1.18,50804.11,1,0,100,73000,0.5
36,6,7,0,0,0,0,0,1,-1,0,0,0,20,0,38.8,61133.42208,483.4399884,1.18,50804.11,1,0,100,73000,0.5
37,6,8,0,0,0,0,0,1,0,-1,0,0,20,0,38.8,61133.42208,1320.112636,1.18,50804.11,1,0,100,73000,0.5
38,6,9,0,0,0,0,0,1,0,0,-1,0,20,0,38.8,61133.42208,1778.265372,1.18,50804.11,1,0,100,73000,0.5
39,6,10,0,0,0,0,0,1,0,0,0,-1,20,0,38.8,61133.42208,2594.586609,1.18,50804.11,1,0,100,73000,0.5
40,7,8,0,0,0,0,0,0,1,-1,0,0,20,0,38.8,61133.42208,843.0302747,1.18,50804.11,1,0,100,73000,0.5
41,7,9,0,0,0,0,0,0,1,0,-1,0,20,0,38.8,61133.42208,1453.344048,1.18,50804.11,1,0,100,73000,0.5
42,7,10,0,0,0,0,0,0,1,0,0,-1,20,0,38.8,61133.42208,2215.037606,1.18,50804.11,1,0,100,73000,0.5
43,8,9,0,0,0,0,0,0,0,1,-1,0,20,0,38.8,61133.42208,1008.271753,1.18,50804.11,1,0,100,73000,0.5
44,8,10,0,0,0,0,0,0,0,1,0,-1,20,0,38.8,61133.42208,1543.177482,1.18,50804.11,1,0,100,73000,0.5
45,9,10,0,0,0,0,0,0,0,0,1,-1,20,0,38.8,61133.42208,854.1133221,1.18,50804.11,1,0,100,73000,0.5
